order	smoking	gender	race	before	after	salary	reduction	parking
1	Nonsmoker	Female	Caucasian	72.6	75.2	618.65	9	2
2	Nonsmoker	Male	AfricanAmer	75.3	73.2	544.56	62	1
3	Nonsmoker	Female	Caucasian	75.5	74.5	550.24	19	4
4	Nonsmoker	Female	Caucasian	71.3	74.6	616.16	30	1
5	Nonsmoker	Female	Hispanic	74.3	73.8	543.39	105	1
6	Nonsmoker	Male	Caucasian	73	73.6	692.09	43	1
7	Smoker	Male	Hispanic	72.4	70.7	800.48	229	5
8	Nonsmoker	Male	Hispanic	73.6	74	703.79	40	1
9	Nonsmoker	Female	Caucasian	73.7	75.9	540.06	101	2
10	Nonsmoker	Female	Hispanic	74.6	74.8	522.28	440	1
11	Nonsmoker	Female	AfricanAmer	75.8	73.1	377.17	213	1
12	Nonsmoker	Female	Caucasian	75.3	72.1	525.96	474	2
13	Nonsmoker	Female	Caucasian	75	72.5	548.88	144	1
14	Nonsmoker	Male	Asian	72.8	72.7	537.7	179	2
15	Nonsmoker	Male	Asian	74.4	75.7	500.2	63	3
16	Nonsmoker	Female	Hispanic	72.9	73.1	597.73	570	1
17	Nonsmoker	Female	Hispanic	72.3	74	578.95	437	4
18	Nonsmoker	Male	Caucasian	74	74.6	690.06	62	2
19	Nonsmoker	Male	Caucasian	73.1	72.8	748.98	437	2
20	Nonsmoker	Male	AfricanAmer	74	76.1	811.71	60	1
21	Nonsmoker	Male	Other	73.6	74.5	660.58	255	1
22	Nonsmoker	Male	Hispanic	73.4	75	586.29	133	4
23	Nonsmoker	Male	AfricanAmer	73.9	74	387.59	88	1
24	Nonsmoker	Male	Caucasian	73	73.9	524.54	116	1
25	Nonsmoker	Female	Hispanic	74.2	75.7	536.87	48	3
26	Nonsmoker	Male	Caucasian	73.6	75.4	503.64	365	1
27	Smoker	Male	AfricanAmer	74.6	68.1	496.09	73	1
28	Nonsmoker	Male	AfricanAmer	74.5	72.6	701.91	306	5
29	Nonsmoker	Female	Caucasian	72.6	73.2	595.7	497	1
30	Nonsmoker	Male	Asian	72.6	74.1	759.3	32	1
31	Nonsmoker	Female	Hispanic	72.1	73.7	717.91	497	1
32	Nonsmoker	Male	Asian	73.2	73.5	808.63	21	2
33	Smoker	Male	Caucasian	73.2	70	682.6	291	1
34	Nonsmoker	Male	Asian	74.3	75.2	623.09	83	1
35	Smoker	Male	AfricanAmer	74	68.7	550.28	55	2
36	Nonsmoker	Male	AfricanAmer	75.5	72.9	646.25	100	8
37	Nonsmoker	Female	AfricanAmer	75.4	72.6	635.43	439	4
38	Nonsmoker	Male	Caucasian	75.5	72.5	437.19	419	1
39	Nonsmoker	Female	Caucasian	74.4	73.6	619.29	23	2
40	Nonsmoker	Male	Caucasian	73.7	75	593.68	71	1
41	Nonsmoker	Male	AfricanAmer	75.8	73.1	546.26	109	4
42	Nonsmoker	Female	Caucasian	74.3	72.2	704.83	98	1
43	Nonsmoker	Male	Caucasian	74.7	73.1	764.15	78	1
44	Nonsmoker	Female	Caucasian	74.9	72	859.67	257	3
45	Nonsmoker	Female	AfricanAmer	75.3	76.2	724.25	487	1
46	Nonsmoker	Male	AfricanAmer	75.6	75	631.62	213	3
47	Nonsmoker	Female	Hispanic	72.7	73.4	478.39	383	1
48	Nonsmoker	Female	Caucasian	75.6	74.9	652.79	116	1
49	Nonsmoker	Male	Caucasian	73.8	71.9	545.66	1632	2
50	Nonsmoker	Male	Caucasian	74.7	75.8	515.95	151	1
51	Nonsmoker	Male	AfricanAmer	75.4	74.8	612.27	152	3
52	Nonsmoker	Female	Hispanic	74.3	73.8	633.12	390	2
53	Nonsmoker	Male	AfricanAmer	75	73.2	671.35	64	1
54	Nonsmoker	Female	AfricanAmer	75.3	73.8	643.83	85	1
55	Nonsmoker	Male	Hispanic	74.8	73.6	794.66	71	2
56	Smoker	Female	Asian	73.2	70.6	888	37	1
57	Nonsmoker	Female	Caucasian	74	75.8	602.94	89	2
58	Smoker	Male	Caucasian	75.5	74.3	716.78	172	1
59	Nonsmoker	Male	Caucasian	75.3	72.8	606.12	3	1
60	Nonsmoker	Male	AfricanAmer	73.9	73.7	704.9	247	5
61	Nonsmoker	Male	Caucasian	71.7	72.5	620.32	127	2
62	Nonsmoker	Male	Caucasian	73.6	74.7	515.92	337	1
63	Nonsmoker	Female	AfricanAmer	72.1	73.7	655.72	123	1
64	Nonsmoker	Female	Hispanic	72.7	73.1	619.44	205	4
65	Nonsmoker	Female	Caucasian	74.5	71.9	640.48	61	1
66	Smoker	Male	Caucasian	73.2	72.8	844.32	119	2
67	Nonsmoker	Female	Caucasian	73.3	74.9	918.03	165	2
68	Nonsmoker	Female	Asian	74.2	75.1	933.49	480	6
69	Nonsmoker	Female	Hispanic	74.7	74.2	699.63	39	3
70	Nonsmoker	Female	Caucasian	74.4	74.2	593.27	434	4
71	Smoker	Male	Caucasian	74.5	69.7	634.24	147	1
72	Smoker	Female	Caucasian	73	69.3	686.98	270	2
73	Nonsmoker	Female	Hispanic	73.5	72.5	618.68	384	1
74	Smoker	Female	Hispanic	72.3	70.6	631.2	87	1
75	Nonsmoker	Female	Caucasian	75.7	73.8	608.88	291	3
76	Smoker	Female	Hispanic	75.6	69.1	686.28	31	2
77	Smoker	Female	AfricanAmer	75.4	70	715.44	549	1
78	Nonsmoker	Male	Hispanic	73.4	74.8	754.66	172	2
79	Nonsmoker	Male	AfricanAmer	72.9	74.6	865.89	251	1
80	Nonsmoker	Female	Caucasian	72.3	74	890.88	335	6
81	Smoker	Male	AfricanAmer	74.4	70.7	777.91	319	1
82	Smoker	Male	Caucasian	72.8	70.5	680.56	519	1
83	Nonsmoker	Male	Caucasian	75.1	73.5	594.61	94	2
84	Nonsmoker	Male	AfricanAmer	73.2	75.1	651.73	15	1
85	Smoker	Male	Caucasian	74	71.3	601.11	397	5
86	Nonsmoker	Female	Asian	73.8	72.9	626.71	95	2
